Samsung_Smartphone,Samsung_Smart_TV_43in,Samsung_Smart_Watch,Samsung_Washing_Machine,Samsung_AC_1.5_Tonne
44956,42366,19221,42028,47577
55490,54482,18539,35177,48177
68259,52801,9522,38300,35482
42482,47884,24668,47575,45684
52201,28997,13233,33324,33487
79881,68456,7920,24475,55799
72662,44850,26506,48946,49238
78943,45997,28830,33124,56567
109445,46201,13337,34127,46976
45561,43399,22999,31322,38123
72823,53858,4482,34446,43358
60877,24569,23939,36785,41220
65834,63701,17750,46723,47246
72155,32395,26145,42256,56216
73070,79224,16305,36600,36454
88291,52053,15499,43700,46215
44329,29968,27864,46914,35161
64778,49686,7142,22234,45985
40417,42292,12115,38581,50616
60268,70069,16680,21240,33808
73206,57339,20676,31652,33658
77114,47824,4506,43651,54426
48565,45395,20176,44676,46411
54248,77054,16023,48567,44882
43435,53570,21500,36241,53197
33618,48050,30723,23701,34765
39320,44431,17258,25682,58763
92193,42065,19701,29828,55783
42018,55127,17708,33302,45936
105096,50581,10254,36921,47962
38229,62144,26166,40042,46152
70634,49381,29694,27093,56097
58765,50384,26794,28041,30711
68351,46870,33037,27477,52802
64025,57672,17817,43395,43449
69200,44949,22066,31488,55914
91169,62366,11645,27249,66194
58020,42148,35368,34703,42715
24963,54593,20302,29925,47396
39895,65007,13778,33230,49820
69327,57978,26582,45929,49898
53275,42669,20442,32335,38271
56970,55166,33177,27544,50633
60417,37620,25413,29464,54236
46292,29340,29344,20560,62902
75393,59069,19521,49453,54278
70675,59920,18869,41536,51104
69858,25864,25017,35429,41198
69947,69529,9828,37773,35495
88937,45888,7897,30122,51858
60329,65895,36117,34060,51633
102977,58908,31200,31966,57975
29832,65556,33595,45950,47402
63089,61294,8262,43010,38912
70089,72610,13934,30984,40900
52173,52091,30456,43645,48150
40856,38463,9303,24194,43736
57074,44173,17473,28502,39240
45232,57173,15315,24784,36015
91720,35344,29457,29643,46538
44765,67861,18886,29267,44486
34079,37547,14354,49422,64409
58944,63861,19023,32165,58632
47094,47073,10065,32880,39367
27789,61705,24231,24474,55100
58117,70641,21210,22706,48242
56227,45164,20781,29051,61844
33907,54758,17196,26004,51221
60495,38441,14429,32611,40149
58297,59546,8387,27939,39848
75365,60553,33000,27663,64574
45045,41044,16768,40087,61423
38651,26017,18406,51929,48307
99281,45438,15970,18351,50189
57860,35968,36651,41799,49808
19463,60479,26268,40419,55409
80279,39790,9520,38394,48104
35481,69125,20962,41394,36745
76607,72305,18166,36490,44100
69063,66163,26174,50932,50288
103433,51003,38424,26933,44873
102595,40028,24620,35663,57045
40092,59881,28822,40243,63152
74665,54967,18550,49865,41499
42465,73075,15928,35986,60011
62876,43788,21835,54912,54004
60503,29388,24775,40341,50719
23416,78159,13051,41604,37111
14135,61570,18567,45699,46501
23806,38227,10107,42698,67954
30547,55996,12801,36825,52210
39159,21017,29546,44006,50830
91385,49527,11016,20670,31330
54915,43329,26790,51303,43999
77722,43916,15909,45894,48434
82279,39151,22357,39810,52041
71704,40304,30892,22866,58659
46816,46159,25763,31292,47700
85387,39292,27311,30108,42571
72355,46526,13768,30209,42788
